,study_id,fold_rare,t,p,rare_mantel_r,unrare_mantel_r,rare_unrare_mantel_r
56,632,56,-1.4791064629255777,0.17737405573053566,-0.06493506493506494,0.10295815295815297,0.9343434343434346
57,632,57,-1.0730875037777774,0.3145312180561395,-0.01767676767676768,0.10295815295815297,0.9420634920634922
58,632,58,-1.2463382397291538,0.24789750660484478,-0.028715728715728722,0.10295815295815297,0.9466089466089469
59,632,59,-0.9138847497366762,0.3874910881046032,-0.014646464646464649,0.10295815295815297,0.926695526695527
60,632,60,-1.2035559081411598,0.26316393582914444,-0.03751803751803753,0.10295815295815297,0.9355699855699857
61,632,61,-1.217949670841936,0.2579429604715682,-0.060894660894660904,0.10295815295815297,0.9141414141414144
62,632,62,-1.4574138488293014,0.1831075406773599,-0.05627705627705629,0.10295815295815297,0.9395382395382397
63,632,63,-1.2244084133969348,0.2556282571787718,-0.03535353535353536,0.10295815295815297,0.9393217893217896
64,632,64,-1.289924034300949,0.2331132417920505,-0.0445887445887446,0.10295815295815297,0.936724386724387
65,632,65,-1.520762497787759,0.16681062438638006,-0.06890331890331892,0.10295815295815297,0.9341269841269844
66,632,66,-1.2221459194674194,0.2564371268536396,-0.060678210678210685,0.10295815295815297,0.914862914862915
67,632,67,-1.2145123485765381,0.2591819057735554,-0.040259740259740266,0.10295815295815297,0.9340548340548342
68,632,68,-1.4125496192954876,0.19548748934050453,-0.04783549783549785,0.10295815295815297,0.9430014430014431
69,632,69,-1.3608091843457413,0.2106691057511625,-0.05461760461760462,0.10295815295815297,0.9339105339105341
70,632,70,-1.0626648739589912,0.3189566053428514,-0.040115440115440125,0.10295815295815297,0.9171717171717174
71,632,71,-1.2617013910386614,0.24259887216528186,-0.04581529581529582,0.10295815295815297,0.9332611832611833
72,632,72,-1.0552217159728297,0.32214665333658443,-0.01753246753246754,0.10295815295815297,0.9404761904761907
73,632,73,-1.21679778082085,0.25835759886425835,-0.04444444444444445,0.10295815295815297,0.9303751803751805
74,632,74,-1.2517414308601083,0.24602304014746124,-0.03008658008658009,0.10295815295815297,0.9458874458874461
75,632,75,-1.3739822323669835,0.2067098319090992,-0.05216450216450218,0.10295815295815297,0.9369408369408372
76,632,76,-1.3565447320406363,0.2119647976355512,-0.0616883116883117,0.10295815295815297,0.9274891774891777
77,632,77,-1.2218787152442234,0.2565327958022281,-0.05223665223665225,0.10295815295815297,0.9233766233766236
78,632,78,-1.2004929538253302,0.2642861305267963,-0.04502164502164503,0.10295815295815297,0.9282106782106785
79,632,79,-1.2151682302232596,0.2589451206622586,-0.04805194805194806,0.10295815295815297,0.9267676767676769
80,632,80,-1.079660710714283,0.31176517643750645,-0.03030303030303031,0.10295815295815297,0.9300865800865802
81,632,81,-1.2505317963109266,0.2464416503244149,-0.04155844155844157,0.10295815295815297,0.9360750360750362
82,632,82,-1.1329339430411363,0.29005188011218475,-0.0357864357864358,0.10295815295815297,0.9303030303030305
83,632,83,-1.4887047524714916,0.17488849392344097,-0.06782106782106782,0.10295815295815297,0.9327561327561329
84,632,84,-1.1005192064416072,0.30311476370223,-0.02453102453102454,0.10295815295815297,0.9380952380952383
85,632,85,-1.4842818040133712,0.17602997608038473,-0.09112554112554115,0.10295815295815297,0.912770562770563
86,632,86,-1.299372453482947,0.23000858130999902,-0.05887445887445889,0.10295815295815297,0.924819624819625
87,632,87,-1.1678268439107735,0.2765006778856718,-0.05353535353535355,0.10295815295815297,0.9158730158730161
